2018-10-18 10:55:50.261 AM	****** Start Logging ******
2018-11-28 11:28:39.761 AM	GenerateReportWithKey	Microsoft Excel cannot access the file 'c:\junk\getresult\91447000'. There are several possible reasons:

• The file name or path does not exist.
• The file is being used by another program.
• The workbook you are trying to save has the same name as a currently open workbook.c:\junk\getresult\20181128-10002059
2018-11-28 11:46:27.124 AM	GenerateReportWithKey	Cannot access '20181128-10002063.xlsx'.C:\junk\getreply\20181128-10002063
2018-11-30 09:52:10.745 AM	doWork	--------Start----------
2018-11-30 09:52:23.718 AM	doWork	Generate Report.
2018-11-30 10:11:33.090 AM	doWork	--------Start----------
2018-11-30 10:11:33.105 AM	doWork	Generate Report.
2018-11-30 10:37:52.774 AM	doWork	--------Start----------
2018-11-30 10:37:53.662 AM	doWork	Generate Report.
2018-11-30 10:38:33.752 AM	doWork	Invalid index. (Exception from HRESULT: 0x8002000B (DISP_E_BADINDEX))
2018-11-30 10:39:44.861 AM	doWork	--------Start----------
2018-11-30 10:39:44.892 AM	doWork	Generate Report.
2018-11-30 11:17:24.483 AM	doWork	--------Start----------
2018-11-30 11:17:24.513 AM	doWork	Generate Report.
2018-11-30 11:18:00.600 AM	doWork	--------Start----------
2018-11-30 11:18:00.628 AM	doWork	Generate Report.
2018-11-30 11:19:35.300 AM	doWork	--------End----------
2018-11-30 05:07:33.665 PM	doWork	--------Start----------
2018-11-30 05:07:33.696 PM	doWork	Generate Report.
2018-11-30 05:08:21.685 PM	doWork	--------End----------
2018-11-30 05:17:01.177 PM	doWork	--------Start----------
2018-11-30 05:17:01.203 PM	doWork	Generate Report.
2018-11-30 05:17:42.317 PM	doWork	--------End----------
2018-11-30 05:18:01.981 PM	doWork	--------Start----------
2018-11-30 05:18:02.004 PM	doWork	Generate Report.
2018-11-30 05:18:41.395 PM	doWork	--------End----------
2019-03-27 03:48:35.736 PM	GenerateReportWithKey	General ODBC Errorc:\junk
2019-03-27 03:57:11.765 PM	GenerateReportWithKey	Cannot access '20190327-10040640.xlsx'.c:\junk\20190327-10040640
2019-03-27 03:58:43.475 PM	GenerateReportWithKey	General ODBC Errorc:\junk
